"","Count","LBA","LF","DIST_YEAR","DIST_TYPE","TYPE_CONFIDENCE","SEVERITY","SOURCE1","SOURCE2","SOURCE3","SOURCE4","DESCRIPTION","DIST_GROUP","DIST_FIRE","hectares"
"77",11625,9999,114,2011,"Wildfire","High","High","Decision Tree Modeled","MTBS",NA,NA,"MTBS gap (value = 6) filled with See5 output.","Wildfire","Disturbance-Fire",1046.25
"78",92660,9999,15,2011,"Wildfire","High","Increased Green","MTBS",NA,NA,NA,"MTBS mapped wildfire.","Wildfire","Disturbance-Fire",8339.4
"79",94786,1,111,2011,"Wildfire","High","Unburned/Low","Decision Tree Modeled","MTBS",NA,NA,"MTBS gap (value = 6) filled with See5 output.","Wildfire","Disturbance-Fire",8530.74
"80",5749,9999,763,2011,"Other Mechanical","Medium","High","Refresh Events","dNBR",NA,NA,"Other Mechanical causality likely, but could be other causality type than assigned (MIICA pixels within Development Refresh Event 500 m buffer).  Severity determined by dNBR standard deviation breakpoints.","Mechanical","Disturbance-Not Fire",517.41
"81",125839,9999,431,2011,"Harvest","High","Low","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Harvest Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.","Harvest","Disturbance-Not Fire",11325.51
"82",18062,9999,432,2011,"Harvest","High","Medium","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Harvest Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.","Harvest","Disturbance-Not Fire",1625.58
"83",247683,9999,931,2011,"Harvest","High","Low","Refresh Events",NA,NA,NA,"Within Harvest Refresh Event perimeter, but no change detected by MIICA or dNBR. Severity default of low.","Harvest","Disturbance-Not Fire",22291.47
"84",12489,9999,433,2011,"Harvest","High","High","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Harvest Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.","Harvest","Disturbance-Not Fire",1124.01
"85",5855,9999,762,2011,"Other Mechanical","Medium","Medium","Refresh Events","dNBR",NA,NA,"Other Mechanical causality likely, but could be other causality type than assigned (MIICA pixels within Development Refresh Event 500 m buffer).  Severity determined by dNBR standard deviation breakpoints.","Mechanical","Disturbance-Not Fire",526.95
"86",31568,9999,463,2011,"Other Mechanical","High","High","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Other Mechanical Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.","Mechanical","Disturbance-Not Fire",2841.12
"87",1981,9999,732,2011,"Harvest","Medium","Medium","Refresh Events","dNBR",NA,NA,"Harvest causality likely, but could be other causality type than assigned (MIICA pixels within Harvest Refresh Event 500 m buffer).  Severity determined by dNBR standard deviation breakpoints.","Harvest","Disturbance-Not Fire",178.29
"88",42043,9999,443,2011,"Thinning","High","High","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Thinning Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.","Thinning","Disturbance-Not Fire",3783.87
